0|iata_code|1|name_rus|2|name_eng|3|city_rus|4|city_eng|5|country_rus|6|latitude|7|longitude
ONI|ONI|Моанамани|Моанамани|Moanamani|Moanamani|Моанамани|Моанамани|Moanamani|Moanamani|Индонезия|Индонезия|-3.967|-3.967|136.083|136.083
ONJ|ONJ|||Odate Noshiro|Odate Noshiro|||Odate Noshiro|Odate Noshiro|Япония|Япония|40.191872|40.191872|140.371431|140.371431
ONL|ONL|||Municipal|Municipal|||Oneill|Oneill|США|США|42.469482|42.469482|-98.687332|-98.687332
ONM|ONM|||Socorro|Socorro|||Socorro|Socorro|США|США|34.022472|34.022472|-106.903139|-106.903139
ONN|ONN|||Onion Bay|Onion Bay|||Onion Bay|Onion Bay|США|США|58.233333333333|58.233333333333|-152.83333333333|-152.83333333333
ONO|ONO|||Ontario Municipal Airport|Ontario Municipal Airport|||Ontario|Ontario|США|США|44.019361|44.019361|-117.013028|-117.013028
ONP|ONP|||Newport|Newport|||Newport|Newport|США|США|44.580361|44.580361|-124.057917|-124.057917
ONQ|ONQ|Зонгулдаг|Зонгулдаг|Zonguldak|Zonguldak|Зонгулдаг|Зонгулдаг|Zonguldak|Zonguldak|Турция|Турция|41.506111|41.506111|32.088611|32.088611
ONR|ONR|||Monkira|Monkira|||Monkira|Monkira|Австралия|Австралия|-24.818611|-24.818611|140.553056|140.553056
ONS|ONS|||Onslow|Onslow|||Onslow|Onslow|Австралия|Австралия|-21.668398|-21.668398|115.112999|115.112999
ONT|ONT|||Ontario International|Ontario International|||Ontario|Ontario|США|США|34.056000|34.056000|-117.601194|-117.601194
ONU|ONU|Оно-И-Лау|Оно-И-Лау|Ono I Lau|Ono I Lau|Оно-И-Лау|Оно-И-Лау|Ono I Lau|Ono I Lau|Фиджи|Фиджи|-20.650|-20.650|-178.700|-178.700
ONX|ONX|||Enrique Adolfo Jimenez|Enrique Adolfo Jimenez|Колон|Колон|Colon|Colon|Панама|Панама|9.356639|9.356639|-79.867413|-79.867413
ONY|ONY|||Olney|Olney|||Olney|Olney|США|США|33.350881|33.350881|-98.819167|-98.819167
OOA|OOA|||Municipal|Municipal|||Oskaloosa|Oskaloosa|США|США|41.226111|41.226111|-92.493833|-92.493833
OOK|OOK|||Toksook Bay|Toksook Bay|||Toksook Bay|Toksook Bay|США|США|60.541336|60.541336|-165.087185|-165.087185
OOL|OOL|||Coolangatta/Gold Coast|Coolangatta/Gold Coast|||Coolangatta/Gold Coast|Coolangatta/Gold Coast|Австралия|Австралия|-28.164444|-28.164444|153.504722|153.504722
OOM|OOM|Коома|Коома|Cooma|Cooma|Коома|Коома|Cooma|Cooma|Австралия|Австралия|-36.300555|-36.300555|148.973889|148.973889
OOR|OOR|||Mooraberree|Mooraberree|||Mooraberree|Mooraberree|Австралия|Австралия|-25.244722|-25.244722|140.975556|140.975556
OOT|OOT|Онотоа|Онотоа|Onotoa|Onotoa|Онотоа|Онотоа|Onotoa|Onotoa|Кирибати|Кирибати|-1.796111|-1.796111|175.526111|175.526111
OPA|OPA|Копаскер|Копаскер|Kopasker|Kopasker|Копаскер|Копаскер|Kopasker|Kopasker|Исландия|Исландия|66.310833|66.310833|-16.466667|-16.466667
OPB|OPB|Опен-Бей|Опен-Бей|Open Bay|Open Bay|Опен-Бей|Опен-Бей|Open Bay|Open Bay|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-4.783|-4.783|151.683|151.683
OPF|OPF|||Opa Locka|Opa Locka|Майами|Майами|Miami|Miami|США|США|25.907000|25.907000|-80.278389|-80.278389
OPI|OPI|||Oenpelli|Oenpelli|||Oenpelli|Oenpelli|Австралия|Австралия|-12.325000|-12.325000|133.005556|133.005556
OPL|OPL|||St Landry Parish|St Landry Parish|||Opelousas|Opelousas|США|США|30.558389|30.558389|-92.099389|-92.099389
OPO|OPO|||Francisco Sб Carneiro|Francisco Sб Carneiro|Порто|Порто|Porto|Porto|Португалия|Португалия|41.248055|41.248055|-8.681389|-8.681389
OPS|OPS|Синоп|Синоп|Sinop|Sinop|Синоп|Синоп|Sinop|Sinop|Бразилия|Бразилия|-11.884983|-11.884983|-55.586636|-55.586636
OPU|OPU|Балимо|Балимо|Balimo|Balimo|Балимо|Балимо|Balimo|Balimo|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-8.051|-8.051|142.940|142.940
OPW|OPW|Опува|Опува|Opuwa|Opuwa|Опува|Опува|Opuwa|Opuwa|Намибия|Намибия|-18.055000|-18.055000|13.852222|13.852222
ORA|ORA|Оран|Оран|Oran|Oran|Оран|Оран|Oran|Oran|Аргентина|Аргентина|-23.152779|-23.152779|-64.329170|-64.329170
ORB|ORB|||Orebro-bofors|Orebro-bofors|Оребро|Оребро|Orebro|Orebro|Швеция|Швеция|59.223733|59.223733|15.037956|15.037956
ORC|ORC|Ороке|Ороке|Orocue|Orocue|Ороке|Ороке|Orocue|Orocue|Колумбия|Колумбия|4.792222|4.792222|-71.356389|-71.356389
ORD|ORD|||Chicago O&#039;hare International|Chicago O&#039;hare International|||Chicago, Il|Chicago, Il|США|США|41.976940|41.976940|-87.908149|-87.908149
ORE|ORE|Орлеан|Орлеан|Orleans|Orleans|Орлеан|Орлеан|Orleans|Orleans|Франция|Франция|47.987778|47.987778|1.760556|1.760556
ORF|ORF|||Norfolk International Airport|Norfolk International Airport|||Norfolk|Norfolk|США|США|36.894611|36.894611|-76.201222|-76.201222
ORG|ORG|||Zorg En Hoop|Zorg En Hoop|||Paramaribo|Paramaribo|Суринам|Суринам|5.811083|5.811083|-55.190744|-55.190744
ORH|ORH|||Worcester Regional Airport|Worcester Regional Airport|||Worcester|Worcester|США|США|42.267339|42.267339|-71.875709|-71.875709
ORI|ORI|||Port Lions SPB|Port Lions SPB|||Port Lions|Port Lions|США|США|57.885377|57.885377|-152.846101|-152.846101
ORJ|ORJ|Ориндук|Ориндук|Orinduik|Orinduik|Ориндук|Ориндук|Orinduik|Orinduik|Бразилия|Бразилия|4.725271|4.725271|-60.035000|-60.035000
ORK|ORK|Корк|Корк|Cork|Cork|Корк|Корк|Cork|Cork|Ирландия|Ирландия|51.841389|51.841389|-8.491110|-8.491110
ORL|ORL|||Orlando Executive|Orlando Executive|Орландо|Орландо|Orlando|Orlando|США|США|28.545464|28.545464|-81.332937|-81.332937
ORM|ORM|||Northampton|Northampton|||Northampton|Northampton|Великобритания|Великобритания|52.300|52.300|-0.783|-0.783
ORN|ORN|||Es Senia|Es Senia|Оран|Оран|Oran|Oran|Алжир|Алжир|35.627222|35.627222|-0.611389|-0.611389
ORO|ORO|Йоро|Йоро|Yoro|Yoro|Йоро|Йоро|Yoro|Yoro|Гондурас|Гондурас|15.167|15.167|-87.117|-87.117
ORP|ORP|Орапа|Орапа|Orapa|Orapa|Орапа|Орапа|Orapa|Orapa|Ботсвана|Ботсвана|-21.266389|-21.266389|25.320000|25.320000
ORQ|ORQ|||Heliport|Heliport|||Norwalk|Norwalk|США|США|41.116666666667|41.116666666667|-73.45|-73.45
ORR|ORR|||Yorketown|Yorketown|||Yorketown|Yorketown|Австралия|Австралия|-35.003056|-35.003056|137.618889|137.618889
ORS|ORS|||Waterport|Waterport|||Orpheus Island Resort|Orpheus Island Resort|Австралия|Австралия|-18.634|-18.634|146.500|146.500
ORT|ORT|||Northway|Northway|||Northway|Northway|США|США|62.961173|62.961173|-141.928078|-141.928078
ORU|ORU|Оруро|Оруро|Oruro|Oruro|Оруро|Оруро|Oruro|Oruro|Боливия|Боливия|-17.962589|-17.962589|-67.076235|-67.076235
ORV|ORV|||Curtis Memorial|Curtis Memorial|||Noorvik|Noorvik|США|США|66.817527|66.817527|-161.022250|-161.022250
ORW|ORW|Ормара|Ормара|Ormara|Ormara|Ормара|Ормара|Ormara|Ormara|Пакистан|Пакистан|25.274742|25.274742|64.585967|64.585967
ORX|ORX|||Oriximina|Oriximina|||Oriximina|Oriximina|Бразилия|Бразилия|-1.714083|-1.714083|-55.836222|-55.836222
ORY|ORY|||Orly|Orly|Париж|Париж|Paris|Paris|Франция|Франция|48.723333|48.723333|2.379444|2.379444
ORZ|ORZ|Ориндж-Уолк|Ориндж-Уолк|Orange Walk|Orange Walk|Ориндж-Уолк|Ориндж-Уолк|Orange Walk|Orange Walk|Белиз|Белиз|18.067|18.067|-88.567|-88.567
OSB|OSB|||Osage Beach|Osage Beach|||Osage Beach|Osage Beach|США|США|38.110450|38.110450|-92.680546|-92.680546
OSC|OSC|||Wurtsmith AFB|Wurtsmith AFB|||Oscoda|Oscoda|США|США|44.451528|44.451528|-83.394167|-83.394167
OSD|OSD|||Froesoe|Froesoe|Остерсанд|Остерсанд|Ostersund|Ostersund|Швеция|Швеция|63.194125|63.194125|14.502008|14.502008
OSE|OSE|Омора|Омора|Omora|Omora|Омора|Омора|Omora|Omora|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-7.833|-7.833|147.083|147.083
OSG|OSG|||Ossima|Ossima|||Ossima|Ossima|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-2.917|-2.917|141.283|141.283
OSH|OSH|||Wittman Field|Wittman Field|||Oshkosh|Oshkosh|США|США|43.984353|43.984353|-88.557042|-88.557042
OSI|OSI|Осиек|Осиек|Osijek|Osijek|Осиек|Осиек|Osijek|Osijek|Хорватия|Хорватия|45.462667|45.462667|18.810156|18.810156
OSK|OSK|Оскархамн|Оскархамн|Oskarshamn|Oskarshamn|Оскархамн|Оскархамн|Oskarshamn|Oskarshamn|Швеция|Швеция|57.350453|57.350453|16.497972|16.497972
OSL|OSL|||Oslo Airport, Gardermoen|Oslo Airport, Gardermoen|Осло|Осло|Oslo|Oslo|Норвегия|Норвегия|60.193917|60.193917|11.100361|11.100361
OSM|OSM|Мосул|Мосул|Mosul|Mosul|Мосул|Мосул|Mosul|Mosul|Ирак|Ирак|36.309722|36.309722|43.156667|43.156667
OSN|OSN|||Osan AB|Osan AB|||Osan|Osan|Южная Корея|Южная Корея|37.090617|37.090617|127.029594|127.029594
OSP|OSP|||Redzikowo|Redzikowo|Слупск|Слупск|Slupsk|Slupsk|Польша|Польша|54.478889|54.478889|17.107500|17.107500
OSR|OSR|||Mosnov|Mosnov|Острава|Острава|Ostrava|Ostrava|Чехия|Чехия|49.696292|49.696292|18.111053|18.111053
OSS|OSS|Ош|Ош|Osh International Airport|Osh International Airport|Ош|Ош|Osh|Osh|Кыргызстан|Кыргызстан|40.608989|40.608989|72.793269|72.793269
OST|OST|||Ostend/Bruges International Airport|Ostend/Bruges International Airport|||Ostend|Ostend|Бельгия|Бельгия|51.198889|51.198889|2.862222|2.862222
OSU|OSU|||Ohio State University|Ohio State University|||Columbus|Columbus|США|США|40.079516|40.079516|-83.073212|-83.073212
OSW|OSW|Орск|Орск|Orsk|Orsk|Орск|Орск|Orsk|Orsk|Россия|Россия|51.072506|51.072506|58.595586|58.595586
OSX|OSX|||Attala County|Attala County|||Kosciusko|Kosciusko|США|США|33.090259|33.090259|-89.542017|-89.542017
OSY|OSY|Намсус|Намсус|Namsos|Namsos|Намсус|Намсус|Namsos|Namsos|Норвегия|Норвегия|64.467|64.467|11.583|11.583
OSZ|OSZ|Кошалин|Кошалин|Koszalin|Koszalin|Кошалин|Кошалин|Koszalin|Koszalin|Польша|Польша|54.041111|54.041111|16.264167|16.264167
OTA|OTA|||Mota|Mota|||Mota|Mota|Эфиопия|Эфиопия|11.083|11.083|37.867|37.867
OTC|OTC|Бол|Бол|Bol|Bol|Бол|Бол|Bol|Bol|Чад|Чад|13.443333|13.443333|14.739444|14.739444
OTD|OTD|Контадора|Контадора|Contadora|Contadora|Контадора|Контадора|Contadora|Contadora|Панама|Панама|8.617|8.617|-79.033|-79.033
OTG|OTG|||Worthington|Worthington|||Worthington|Worthington|США|США|43.655056|43.655056|-95.579194|-95.579194
OTH|OTH|||North Bend|North Bend|||North Bend|North Bend|США|США|43.416944|43.416944|-124.247028|-124.247028
OTI|OTI|Моротаи-Айленд|Моротаи-Айленд|Morotai Island|Morotai Island|||Pitu, Morotai Island|Pitu, Morotai Island|Индонезия|Индонезия|2.045992|2.045992|128.324707|128.324707
OTJ|OTJ|Отьиваронго|Отьиваронго|Otjiwarongo|Otjiwarongo|Отьиваронго|Отьиваронго|Otjiwarongo|Otjiwarongo|Намибия|Намибия|-21.733333333333|-21.733333333333|18.25|18.25
OTL|OTL|Бутилимит|Бутилимит|Boutilimit|Boutilimit|Бутилимит|Бутилимит|Boutilimit|Boutilimit|Мавритания|Мавритания|17.533|17.533|-14.717|-14.717
OTM|OTM|||Industrial|Industrial|||Ottumwa|Ottumwa|США|США|41.106596|41.106596|-92.447940|-92.447940
OTN|OTN|||Green|Green|||Oaktown|Oaktown|США|США|38.851434|38.851434|-87.499722|-87.499722
OTO|OTO|||Vor|Vor|||Otto|Otto|США|США|35.072222222222|35.072222222222|-105.93555555556|-105.93555555556
OTP|OTP|||Henri Coanda International|Henri Coanda International|Бухарест|Бухарест|Bucharest|Bucharest|Румыния|Румыния|44.572161|44.572161|26.102178|26.102178
OTR|OTR|Кото-47|Кото-47|Coto 47|Coto 47|Кото-47|Кото-47|Coto 47|Coto 47|Коста-Рика|Коста-Рика|8.601556|8.601556|-82.968613|-82.968613
OTS|OTS|||Anacortes|Anacortes|||Anacortes|Anacortes|США|США|48.498507|48.498507|-122.662467|-122.662467
OTU|OTU|Оту|Оту|Otu|Otu|Оту|Оту|Otu|Otu|Колумбия|Колумбия|7.010369|7.010369|-74.715497|-74.715497
OTV|OTV|||Ontong Java|Ontong Java|||Ontong Java|Ontong Java|Соломоновы острова|Соломоновы острова|-5.3333333333333|-5.3333333333333|159.5|159.5
OTY|OTY|Ориа|Ориа|Oria|Oria|Ориа|Ориа|Oria|Oria|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-6.600|-6.600|155.767|155.767
OTZ|OTZ|||Kotzebue|Kotzebue|||Kotzebue|Kotzebue|США|США|66.884693|66.884693|-162.598500|-162.598500
OUA|OUA|Уагадугу|Уагадугу|Ouagadougou|Ouagadougou|Уагадугу|Уагадугу|Ouagadougou|Ouagadougou|Буркина-Фасо|Буркина-Фасо|12.353194|12.353194|-1.512417|-1.512417
OUD|OUD|||Les Angades|Les Angades|Уджда|Уджда|Oujda|Oujda|Марокко|Марокко|34.787150|34.787150|-1.923986|-1.923986
OUE|OUE|Уэссо|Уэссо|Ouesso|Ouesso|Уэссо|Уэссо|Ouesso|Ouesso|Конго|Конго|1.615994|1.615994|16.037917|16.037917
OUG|OUG|Уахигоуя|Уахигоуя|Ouahigouya|Ouahigouya|Уахигоуя|Уахигоуя|Ouahigouya|Ouahigouya|Буркина-Фасо|Буркина-Фасо|13.562778|13.562778|-2.423056|-2.423056
OUH|OUH|Оудсхорн|Оудсхорн|Oudtshoorn|Oudtshoorn|Оудсхорн|Оудсхорн|Oudtshoorn|Oudtshoorn|ЮАР|ЮАР|-33.606967|-33.606967|22.188978|22.188978
OUI|OUI|||Ban Houei|Ban Houei|||Ban Houei|Ban Houei|Лаос|Лаос|48.464167|48.464167|-5.062221|-5.062221
OUK|OUK|||Outer Skerries|Outer Skerries|||Outer Skerries|Outer Skerries|Великобритания|Великобритания|60.417|60.417|-0.750|-0.750
OUL|OUL|Оулу|Оулу|Oulu|Oulu|Оулу|Оулу|Oulu|Oulu|Финляндия|Финляндия|64.929167|64.929167|25.355556|25.355556
OUM|OUM|||Oum Hadjer|Oum Hadjer|||Oum Hadjer|Oum Hadjer|Чад|Чад|13.267|13.267|19.700|19.700
OUN|OUN|||Max Westheimer|Max Westheimer|||Norman|Norman|США|США|35.245556|35.245556|-97.472139|-97.472139
OUR|OUR|Батури|Батури|Batouri|Batouri|Батури|Батури|Batouri|Batouri|Камерун|Камерун|4.475000|4.475000|14.362500|14.362500
OUS|OUS|||Ourinhos|Ourinhos|||Ourinhos|Ourinhos|Бразилия|Бразилия|-22.966500|-22.966500|-49.913281|-49.913281
OUT|OUT|Буссо|Буссо|Bousso|Bousso|Буссо|Буссо|Bousso|Bousso|Чад|Чад|10.483333|10.483333|16.716667|16.716667
OUU|OUU|||Ouanga|Ouanga|||Ouanga|Ouanga|Габон|Габон|-2.983|-2.983|10.300|10.300
OUZ|OUZ|Зурате|Зурате|Zouerate|Zouerate|Зурате|Зурате|Zouerate|Zouerate|Мавритания|Мавритания|22.756389|22.756389|-12.483611|-12.483611
OVA|OVA|Бекили|Бекили|Bekily|Bekily|Бекили|Бекили|Bekily|Bekily|Мадагаскар|Мадагаскар|-24.236110|-24.236110|45.304722|45.304722
OVB|OVB|Толмачево|Толмачево|Tolmachevo|Tolmachevo|Новосибирск|Новосибирск|Novosibirsk|Novosibirsk|Россия|Россия|55.012622|55.012622|82.650656|82.650656
OVD|OVD|Астурия|Астурия|Asturias|Asturias|||Oviedo/Aviles|Oviedo/Aviles|Испания|Испания|43.563567|43.563567|-6.034621|-6.034621
OVE|OVE|||Oroville|Oroville|||Oroville|Oroville|США|США|39.487806|39.487806|-121.622000|-121.622000
OVG|OVG|||Overberg (FAOB)|Overberg (FAOB)|||Overberg|Overberg|Бельгия|Бельгия|50.75|50.75|3.8666666666667|3.8666666666667
OVL|OVL|Овайе|Овайе|Ovalle|Ovalle|Овайе|Овайе|Ovalle|Ovalle|Чили|Чили|-30.559167|-30.559167|-71.175556|-71.175556
OVR|OVR|||Olavarria|Olavarria|||Olavarria|Olavarria|Аргентина|Аргентина|-35.7|-35.7|-63|-63
OWA|OWA|||Owatonna|Owatonna|||Owatonna|Owatonna|США|США|44.122952|44.122952|-93.258826|-93.258826
OWB|OWB|||Daviess County|Daviess County|||Owensboro|Owensboro|США|США|37.738834|37.738834|-87.166829|-87.166829
OWD|OWD|||Memorial|Memorial|||Norwood|Norwood|США|США|42.190528|42.190528|-71.172944|-71.172944
OWE|OWE|Овендо|Овендо|Owendo|Owendo|Овендо|Овендо|Owendo|Owendo|Габон|Габон|0.300|0.300|9.500|9.500
OWK|OWK|||Central Maine Airport of Norridgewock|Central Maine Airport of Norridgewock|||Norridgewock|Norridgewock|США|США|44.715500|44.715500|-69.866472|-69.866472
OXB|OXB|||Osvaldo Vieira International|Osvaldo Vieira International|||Bissau|Bissau|Гвинея-Бисау|Гвинея-Бисау|11.894850|11.894850|-15.653681|-15.653681
OXC|OXC|||Waterbury-oxford|Waterbury-oxford|||Oxford, CT|Oxford, CT|США|США|41.478556|41.478556|-73.135250|-73.135250
OXD|OXD|||Miami University|Miami University|||Oxford|Oxford|Канада|Канада|39.502250|39.502250|-84.784361|-84.784361
OXF|OXF|||Oxford (Kidlington)|Oxford (Kidlington)|Оксфорд|Оксфорд|Oxford|Oxford|Великобритания|Великобритания|51.836944|51.836944|-1.320000|-1.320000
OXO|OXO|||Orientos|Orientos|||Orientos|Orientos|Австралия|Австралия|-28.133|-28.133|141.533|141.533
OXR|OXR|Вентура|Вентура|Ventura|Ventura|Вентура|Вентура|Ventura|Ventura|США|США|34.200806|34.200806|-119.207222|-119.207222
OXY|OXY|||Morney|Morney|||Morney|Morney|Австралия|Австралия|-25.350|-25.350|141.433|141.433
OYA|OYA|Гоя|Гоя|Goya|Goya|Гоя|Гоя|Goya|Goya|Аргентина|Аргентина|-29.099472|-29.099472|-59.250583|-59.250583
OYE|OYE|Оем|Оем|Oyem|Oyem|Оем|Оем|Oyem|Oyem|Габон|Габон|1.543108|1.543108|11.581361|11.581361
OYG|OYG|Мойо|Мойо|Moyo|Moyo|Мойо|Мойо|Moyo|Moyo|Уганда|Уганда|3.644167|3.644167|31.762778|31.762778
OYK|OYK|||Oiapoque|Oiapoque|||Oiapoque|Oiapoque|Бразилия|Бразилия|3.855486|3.855486|-51.796867|-51.796867
OYL|OYL|Мояль|Мояль|Moyale|Moyale|Мояль|Мояль|Moyale|Moyale|Эфиопия|Эфиопия|3.469444|3.469444|39.101111|39.101111
OYN|OYN|||Ouyen|Ouyen|||Ouyen|Ouyen|Австралия|Австралия|-35.088889|-35.088889|142.354722|142.354722
OYO|OYO|Трес-Арройос|Трес-Арройос|Tres Arroyos|Tres Arroyos|Трес-Арройос|Трес-Арройос|Tres Arroyos|Tres Arroyos|Аргентина|Аргентина|-38.386911|-38.386911|-60.329711|-60.329711
OYP|OYP|||St-Georges de lOyapock|St-Georges de lOyapock|||St Georges de lOyapock|St Georges de lOyapock|Французская Гвиана|Французская Гвиана|3.893333|3.893333|-51.805556|-51.805556
OYS|OYS|||Yosemite Ntl Park|Yosemite Ntl Park|||Yosemite Ntl Park|Yosemite Ntl Park|США|США|37.748|37.748|-119.588|-119.588
OZA|OZA|||Ozona Municipal|Ozona Municipal|||Ozona|Ozona|США|США|30.735280|30.735280|-101.202972|-101.202972
OZC|OZC|||Labo|Labo|Озамис-Сити|Озамис-Сити|Ozamis City|Ozamis City|Филиппины|Филиппины|8.178508|8.178508|123.841731|123.841731
OZH|OZH|Запорожье|Запорожье|Zaporozhye|Zaporozhye|Запорожье|Запорожье|Zaporozhye|Zaporozhye|Украина|Украина|47.867003|47.867003|35.315692|35.315692
OZI|OZI|||Bobadilla|Bobadilla|||Bobadilla|Bobadilla|Сальвадор|Сальвадор|13.383333333333|13.383333333333|-87.933333333333|-87.933333333333
OZP|OZP|||Moron|Moron|||Moron|Moron|Испания|Испания|37.174917|37.174917|-5.615944|-5.615944
OZR|OZR|||Cairns AAF|Cairns AAF|||Ozark|Ozark|США|США|31.275775|31.275775|-85.713350|-85.713350
OZU|OZU|||Montilla|Montilla|||Montilla|Montilla|Панама|Панама|7.5666666666667|7.5666666666667|-80.6|-80.6
OZZ|OZZ|Уарзазат|Уарзазат|Ouarzazate|Ouarzazate|Уазазат|Уазазат|Ouarzazate|Ouarzazate|Марокко|Марокко|30.939053|30.939053|-6.909431|-6.909431
PAA|PAA|||Pa-an|Pa-an|||Pa-an|Pa-an|Мьянма|Мьянма|16.893714|16.893714|97.674581|97.674581
PAB|PAB|Биласпур|Биласпур|Bilaspur|Bilaspur|Биласпур|Биласпур|Bilaspur|Bilaspur|Индия|Индия|21.988400|21.988400|82.110983|82.110983
PAC|PAC|||Paitilla-Marcos A. Gelabert|Paitilla-Marcos A. Gelabert|Панама Сити|Панама Сити|Panama City|Panama City|Панама|Панама|8.973339|8.973339|-79.555583|-79.555583
PAD|PAD|||Paderborn/lippstadt|Paderborn/lippstadt|||Paderborn|Paderborn|Германия|Германия|51.614089|51.614089|8.616317|8.616317
PAE|PAE|||Snohomish County|Snohomish County|Эверетт|Эверетт|Everett|Everett|США|США|47.906987|47.906987|-122.281572|-122.281572
PAF|PAF|Пакуба|Пакуба|Pakuba|Pakuba|Пакуба|Пакуба|Pakuba|Pakuba|Уганда|Уганда|2.202222|2.202222|31.554444|31.554444
PAG|PAG|Пагадиан|Пагадиан|Pagadian|Pagadian|Пагадиан|Пагадиан|Pagadian|Pagadian|Филиппины|Филиппины|7.827197|7.827197|123.458294|123.458294
PAH|PAH|||Barkley Regional|Barkley Regional|||Paducah, KY|Paducah, KY|США|США|37.060288|37.060288|-88.772958|-88.772958
PAI|PAI|Пайлинь|Пайлинь|Pailin|Pailin|Пайлинь|Пайлинь|Pailin|Pailin|Камбоджа|Камбоджа|12.850|12.850|102.583|102.583
PAJ|PAJ|Пара-Чинар|Пара-Чинар|Para Chinar|Para Chinar|Пара-Чинар|Пара-Чинар|Para Chinar|Para Chinar|Пакистан|Пакистан|33.900|33.900|70.067|70.067
PAK|PAK|||Port Allen|Port Allen|||Hanapepe|Hanapepe|США|США|21.896944|21.896944|-159.603167|-159.603167
PAL|PAL|Паланкеро|Паланкеро|Palanquero|Palanquero|Паланкеро|Паланкеро|Palanquero|Palanquero|Колумбия|Колумбия|5.483611|5.483611|-74.657361|-74.657361
PAM|PAM|||Tyndall AFB|Tyndall AFB|Панама Сити|Панама Сити|Panama City|Panama City|Панама|Панама|30.070000|30.070000|-85.576500|-85.576500
PAN|PAN|Паттани|Паттани|Pattani|Pattani|Паттани|Паттани|Pattani|Pattani|Таиланд|Таиланд|6.785458|6.785458|101.153569|101.153569
PAO|PAO|Пало Альто|Пало Альто|Palo Alto|Palo Alto|Пало Альто|Пало Альто|Palo Alto|Palo Alto|США|США|37.461111|37.461111|-122.115056|-122.115056
PAP|PAP|||Toussaint Louverture International|Toussaint Louverture International|||Port Au Prince|Port Au Prince|Гаити|Гаити|18.580050|18.580050|-72.292542|-72.292542
PAQ|PAQ|||Municipal|Municipal|||Palmer|Palmer|США|США|61.594914|61.594914|-149.088711|-149.088711
PAS|PAS|Парос|Парос|Paros|Paros|Парос|Парос|Paros|Paros|Греция|Греция|37.010278|37.010278|25.127778|25.127778
PAT|PAT|Патна|Патна|Patna|Patna|Патна|Патна|Patna|Patna|Индия|Индия|25.591317|25.591317|85.087992|85.087992
PAU|PAU|Паук|Паук|Pauk|Pauk|Паук|Паук|Pauk|Pauk|Мьянма|Мьянма|21.449160|21.449160|94.486946|94.486946
PAV|PAV|||Paulo Afonso|Paulo Afonso|||Paulo Afonso|Paulo Afonso|Бразилия|Бразилия|-9.400878|-9.400878|-38.250575|-38.250575
PAW|PAW|Памбва|Памбва|Pambwa|Pambwa|Памбва|Памбва|Pambwa|Pambwa|Папуа - Новая Гвинея|Папуа - Новая Гвинея|-11.417|-11.417|154.033|154.033
PAX|PAX|||Port De Paix|Port De Paix|||Port De Paix|Port De Paix|Гаити|Гаити|19.933611|19.933611|-72.848611|-72.848611
PAY|PAY|||Pamol|Pamol|||Pamol|Pamol|Малайзия|Малайзия|5.992778|5.992778|117.396389|117.396389
PAZ|PAZ|||Tajin|Tajin|Поса-Рика|Поса-Рика|Poza Rica|Poza Rica|Мексика|Мексика|20.602671|20.602671|-97.460839|-97.460839
PBA|PBA|||Point Barrow|Point Barrow|||Barrow|Barrow|США|США|71.333333333333|71.333333333333|-156.63333333333|-156.63333333333
PBB|PBB|||Paranaiba|Paranaiba|||Paranaiba|Paranaiba|Бразилия|Бразилия|-19.651167|-19.651167|-51.199361|-51.199361
PBC|PBC|||Hermanos Serdan International|Hermanos Serdan International|||Puebla Atlixco|Puebla Atlixco|Мексика|Мексика|19.158144|19.158144|-98.371447|-98.371447
PBD|PBD|Порбандар|Порбандар|Porbandar|Porbandar|Порбандар|Порбандар|Porbandar|Porbandar|Индия|Индия|21.648675|21.648675|69.657219|69.657219
PBE|PBE|Пуэрто-Беррио|Пуэрто-Беррио|Puerto Berrio|Puerto Berrio|Пуэрто-Беррио|Пуэрто-Беррио|Puerto Berrio|Puerto Berrio|Колумбия|Колумбия|6.460344|6.460344|-74.410475|-74.410475
PBF|PBF|||Grider Field|Grider Field|||Pine Bluff|Pine Bluff|США|США|34.174513|34.174513|-91.935604|-91.935604
PBG|PBG|||Plattsburgh International|Plattsburgh International|||Plattsburgh|Plattsburgh|США|США|44.650944|44.650944|-73.468139|-73.468139
PBH|PBH|Паро|Паро|Paro|Paro|Паро|Паро|Paro|Paro|Бутан|Бутан|27.403192|27.403192|89.424606|89.424606
PBI|PBI|||Palm Beach International|Palm Beach International|Уест Палм Бич|Уест Палм Бич|West Palm Beach|West Palm Beach|США|США|26.683161|26.683161|-80.095589|-80.095589
PBJ|PBJ|Паама|Паама|Paama|Paama|Паама|Паама|Paama|Paama|Новая Каледония|Новая Каледония|-16.439|-16.439|168.257|168.257
PBK|PBK|||Pack Creek|Pack Creek|||Pack Creek|Pack Creek|США|США|57.8|57.8|-134.7|-134.7
PBL|PBL|||Puerto Cabello|Puerto Cabello|||Puerto Cabello|Puerto Cabello|Венесуэла|Венесуэла|10.480500|10.480500|-68.073025|-68.073025
PBM|PBM|||Zanderij Intl|Zanderij Intl|||Paramaribo|Paramaribo|Суринам|Суринам|5.452831|5.452831|-55.187783|-55.187783
